USER           PID  PPID NAME                        ARGS                       
root             1     0 init                        init second_stage
root             2     0 [kthreadd]                  [kthreadd]
root             5     2 [kworker/u16:0]             [kworker/u16:0]
root             6     2 [ksoftirqd/0]               [ksoftirqd/0]
root             7     2 [rcu_preempt]               [rcu_preempt]
root             8     2 [rcu_sched]                 [rcu_sched]
root             9     2 [rcu_bh]                    [rcu_bh]
root            10     2 [rcuop/0]                   [rcuop/0]
root            11     2 [rcuos/0]                   [rcuos/0]
root            12     2 [rcuob/0]                   [rcuob/0]
root            13     2 [migration/0]               [migration/0]
root            14     2 [lru-add-drain]             [lru-add-drain]
root            15     2 [cpuhp/0]                   [cpuhp/0]
root            16     2 [cpuhp/1]                   [cpuhp/1]
root            17     2 [migration/1]               [migration/1]
root            18     2 [ksoftirqd/1]               [ksoftirqd/1]
root            21     2 [rcuop/1]                   [rcuop/1]
root            22     2 [rcuos/1]                   [rcuos/1]
root            23     2 [rcuob/1]                   [rcuob/1]
root            24     2 [cpuhp/2]                   [cpuhp/2]
root            25     2 [migration/2]               [migration/2]
root            26     2 [ksoftirqd/2]               [ksoftirqd/2]
root            29     2 [rcuop/2]                   [rcuop/2]
root            30     2 [rcuos/2]                   [rcuos/2]
root            31     2 [rcuob/2]                   [rcuob/2]
root            32     2 [cpuhp/3]                   [cpuhp/3]
root            33     2 [migration/3]               [migration/3]
root            34     2 [ksoftirqd/3]               [ksoftirqd/3]
root            37     2 [rcuop/3]                   [rcuop/3]
root            38     2 [rcuos/3]                   [rcuos/3]
root            39     2 [rcuob/3]                   [rcuob/3]
root            40     2 [cpuhp/4]                   [cpuhp/4]
root            41     2 [migration/4]               [migration/4]
root            42     2 [ksoftirqd/4]               [ksoftirqd/4]
root            45     2 [rcuop/4]                   [rcuop/4]
root            46     2 [rcuos/4]                   [rcuos/4]
root            47     2 [rcuob/4]                   [rcuob/4]
root            48     2 [cpuhp/5]                   [cpuhp/5]
root            49     2 [migration/5]               [migration/5]
root            50     2 [ksoftirqd/5]               [ksoftirqd/5]
root            53     2 [rcuop/5]                   [rcuop/5]
root            54     2 [rcuos/5]                   [rcuos/5]
root            55     2 [rcuob/5]                   [rcuob/5]
root            56     2 [cpuhp/6]                   [cpuhp/6]
root            57     2 [migration/6]               [migration/6]
root            58     2 [ksoftirqd/6]               [ksoftirqd/6]
root            61     2 [rcuop/6]                   [rcuop/6]
root            62     2 [rcuos/6]                   [rcuos/6]
root            63     2 [rcuob/6]                   [rcuob/6]
root            64     2 [cpuhp/7]                   [cpuhp/7]
root            65     2 [migration/7]               [migration/7]
root            66     2 [ksoftirqd/7]               [ksoftirqd/7]
root            69     2 [rcuop/7]                   [rcuop/7]
root            70     2 [rcuos/7]                   [rcuos/7]
root            71     2 [rcuob/7]                   [rcuob/7]
root            72     2 [netns]                     [netns]
root            77     2 [ipa_usb_wq]                [ipa_usb_wq]
root            78     2 [msm_watchdog]              [msm_watchdog]
root            79     2 [smem_native_sps]           [smem_native_sps]
root            80     2 [spss_mailbox_gl]           [spss_mailbox_gl]
root            81     2 [qmp_aop]                   [qmp_aop]
root            82     2 [smem_native_mps]           [smem_native_mps]
root            83     2 [mpss_smem_glink]           [mpss_smem_glink]
root            84     2 [smem_native_lpa]           [smem_native_lpa]
root            85     2 [lpass_smem_glin]           [lpass_smem_glin]
root            86     2 [smem_native_dsp]           [smem_native_dsp]
root            87     2 [dsps_smem_glink]           [dsps_smem_glink]
root            88     2 [smem_native_cds]           [smem_native_cds]
root            89     2 [cdsp_smem_glink]           [cdsp_smem_glink]
root            91     2 [oom_reaper]                [oom_reaper]
root            92     2 [writeback]                 [writeback]
root            93     2 [kcompactd0]                [kcompactd0]
root            94     2 [crypto]                    [crypto]
root            95     2 [bioset]                    [bioset]
root            96     2 [kblockd]                   [kblockd]
root            97     2 [op_rf_cable_wqu]           [op_rf_cable_wqu]
root            98     2 [irq/155-arm-smm]           [irq/155-arm-smm]
root            99     2 [irq/156-arm-smm]           [irq/156-arm-smm]
root           100     2 [irq/165-arm-smm]           [irq/165-arm-smm]
root           101     2 [irq/120-tsens-u]           [irq/120-tsens-u]
root           102     2 [irq/121-tsens-c]           [irq/121-tsens-c]
root           103     2 [irq/122-tsens-u]           [irq/122-tsens-u]
root           104     2 [irq/123-tsens-c]           [irq/123-tsens-c]
root           105     2 [system]                    [system]
root           106     2 [ipa_power_mgmt]            [ipa_power_mgmt]
root           107     2 [transport_power]           [transport_power]
root           108     2 [ipa_rm_wq]                 [ipa_rm_wq]
root           109     2 [devfreq_wq]                [devfreq_wq]
root           110     2 [governor_msm_ad]           [governor_msm_ad]
root           111     2 [cfg80211]                  [cfg80211]
root           140     2 [kswapd0]                   [kswapd0]
root           141     2 [vmstat]                    [vmstat]
root           142     2 [ecryptfs-kthrea]           [ecryptfs-kthrea]
root           143     2 [bioset]                    [bioset]
root           177     2 [irq/169-arm-smm]           [irq/169-arm-smm]
root           178     2 [irq/170-arm-smm]           [irq/170-arm-smm]
root           179     2 [irq/28-eud_irq]            [irq/28-eud_irq]
root           180     2 [glink_ssr_wq]              [glink_ssr_wq]
root           181     2 [glink_lbsrv]               [glink_lbsrv]
root           182     2 [spi_wdsp]                  [spi_wdsp]
root           183     2 [wdsp_spi_glink_]           [wdsp_spi_glink_]
root           184     2 [glink_xprt_wq]             [glink_xprt_wq]
root           185     2 [IPCRTR_mpss_sme]           [IPCRTR_mpss_sme]
root           186     2 [IPCRTR_lpass_sm]           [IPCRTR_lpass_sm]
root           187     2 [IPCRTR_dsps_sme]           [IPCRTR_dsps_sme]
root           188     2 [IPCRTR_cdsp_sme]           [IPCRTR_cdsp_sme]
root           189     2 [glink_pkt_wq]              [glink_pkt_wq]
root           190     2 [irq/171-arm-smm]           [irq/171-arm-smm]
root           191     2 [qmi_svc_event_w]           [qmi_svc_event_w]
root           192     2 [msm_ipc_router]            [msm_ipc_router]
root           193     2 [servloc_wq]                [servloc_wq]
root           195     2 [mem_share_svc]             [mem_share_svc]
root           196     2 [qmi_hndl0000000]           [qmi_hndl0000000]
root           197     2 [irq/172-arm-smm]           [irq/172-arm-smm]
root           198     2 [okl4vtty]                  [okl4vtty]
root           199     2 [hwrng]                     [hwrng]
root           201     2 [diag_real_time_]           [diag_real_time_]
root           202     2 [diag_wq]                   [diag_wq]
root           204     2 [DIAG_USB_diag]             [DIAG_USB_diag]
root           205     2 [diag_cntl_wq]              [diag_cntl_wq]
root           206     2 [diag_dci_wq]               [diag_dci_wq]
root           207     2 [MODEM_CNTL]                [MODEM_CNTL]
root           208     2 [MODEM_DATA]                [MODEM_DATA]
root           209     2 [MODEM_CMD]                 [MODEM_CMD]
root           210     2 [MODEM_DCI]                 [MODEM_DCI]
root           211     2 [MODEM_DCI_CMD]             [MODEM_DCI_CMD]
root           212     2 [LPASS_CNTL]                [LPASS_CNTL]
root           213     2 [LPASS_DATA]                [LPASS_DATA]
root           214     2 [LPASS_CMD]                 [LPASS_CMD]
root           215     2 [LPASS_DCI]                 [LPASS_DCI]
root           216     2 [LPASS_DCI_CMD]             [LPASS_DCI_CMD]
root           217     2 [WCNSS_CNTL]                [WCNSS_CNTL]
root           218     2 [WCNSS_DATA]                [WCNSS_DATA]
root           219     2 [WCNSS_CMD]                 [WCNSS_CMD]
root           220     2 [WCNSS_DCI]                 [WCNSS_DCI]
root           221     2 [WCNSS_DCI_CMD]             [WCNSS_DCI_CMD]
root           222     2 [SENSORS_CNTL]              [SENSORS_CNTL]
root           223     2 [SENSORS_DATA]              [SENSORS_DATA]
root           224     2 [SENSORS_CMD]               [SENSORS_CMD]
root           225     2 [SENSORS_DCI]               [SENSORS_DCI]
root           226     2 [SENSORS_DCI_CMD]           [SENSORS_DCI_CMD]
root           227     2 [DIAG_CTRL]                 [DIAG_CTRL]
root           228     2 [DIAG_DATA]                 [DIAG_DATA]
root           229     2 [DIAG_CMD]                  [DIAG_CMD]
root           230     2 [DIAG_DCI_DATA]             [DIAG_DCI_DATA]
root           231     2 [DIAG_DCI_CMD]              [DIAG_DCI_CMD]
root           232     2 [CDSP_CNTL]                 [CDSP_CNTL]
root           233     2 [CDSP_DATA]                 [CDSP_DATA]
root           234     2 [CDSP_CMD]                  [CDSP_CMD]
root           235     2 [CDSP_DCI]                  [CDSP_DCI]
root           236     2 [CDSP_DCI_CMD]              [CDSP_DCI_CMD]
root           237     2 [DIAG_CNTL_SOCKE]           [DIAG_CNTL_SOCKE]
root           238     2 [DIAG_GLINK_DIAG]           [DIAG_GLINK_DIAG]
root           239     2 [DIAG_GLINK_DIAG]           [DIAG_GLINK_DIAG]
root           240     2 [DIAG_GLINK_DIAG]           [DIAG_GLINK_DIAG]
root           241     2 [DIAG_GLINK_DIAG]           [DIAG_GLINK_DIAG]
root           242     2 [DIAG_GLINK_DIAG]           [DIAG_GLINK_DIAG]
root           243     2 [irq/166-arm-smm]           [irq/166-arm-smm]
root           244     2 [irq/173-arm-smm]           [irq/173-arm-smm]
root           245     2 [crtc_commit:114]           [crtc_commit:114]
root           246     2 [crtc_event:114]            [crtc_event:114]
root           247     2 [crtc_commit:168]           [crtc_commit:168]
root           248     2 [crtc_event:168]            [crtc_event:168]
root           249     2 [pp_event]                  [pp_event]
root           250     2 [kgsl-workqueue]            [kgsl-workqueue]
root           251     2 [kgsl-mementry]             [kgsl-mementry]
root           252     2 [kgsl_worker_thr]           [kgsl_worker_thr]
root           253     2 [irq/157-arm-smm]           [irq/157-arm-smm]
root           254     2 [irq/158-arm-smm]           [irq/158-arm-smm]
root           255     2 [irq/159-arm-smm]           [irq/159-arm-smm]
root           256     2 [kgsl-events]               [kgsl-events]
root           257     2 [kgsl_devfreq_wq]           [kgsl_devfreq_wq]
root           258     2 [bioset]                    [bioset]
root           259     2 [bioset]                    [bioset]
root           260     2 [bioset]                    [bioset]
root           261     2 [bioset]                    [bioset]
root           262     2 [bioset]                    [bioset]
root           263     2 [bioset]                    [bioset]
root           264     2 [bioset]                    [bioset]
root           265     2 [bioset]                    [bioset]
root           266     2 [bioset]                    [bioset]
root           267     2 [bioset]                    [bioset]
root           268     2 [bioset]                    [bioset]
root           269     2 [bioset]                    [bioset]
root           270     2 [bioset]                    [bioset]
root           271     2 [bioset]                    [bioset]
root           272     2 [bioset]                    [bioset]
root           273     2 [bioset]                    [bioset]
root           274     2 [bioset]                    [bioset]
root           275     2 [bioset]                    [bioset]
root           276     2 [bioset]                    [bioset]
root           277     2 [bioset]                    [bioset]
root           278     2 [bioset]                    [bioset]
root           279     2 [bioset]                    [bioset]
root           280     2 [bioset]                    [bioset]
root           281     2 [bioset]                    [bioset]
root           282     2 [bioset]                    [bioset]
root           283     2 [bioset]                    [bioset]
root           284     2 [bioset]                    [bioset]
root           285     2 [bioset]                    [bioset]
root           286     2 [bioset]                    [bioset]
root           287     2 [bioset]                    [bioset]
root           288     2 [bioset]                    [bioset]
root           289     2 [bioset]                    [bioset]
root           290     2 [bioset]                    [bioset]
root           291     2 [qseecom-unreg-l]           [qseecom-unreg-l]
root           292     2 [qseecom-unload-]           [qseecom-unload-]
root           293     2 [memory_wq]                 [memory_wq]
root           294     2 [irq/174-arm-smm]           [irq/174-arm-smm]
root           295     2 [irq/175-arm-smm]           [irq/175-arm-smm]
root           296     2 [irq/176-arm-smm]           [irq/176-arm-smm]
root           297     2 [qcrypto_seq_res]           [qcrypto_seq_res]
root           298     2 [irq/177-arm-smm]           [irq/177-arm-smm]
system         307 32752 system_server               system_server
root           319     2 [scsi_eh_0]                 [scsi_eh_0]
root           320     2 [scsi_tmf_0]                [scsi_tmf_0]
